,userid,applicationid,topic_1,topic_2
,,,Child protection,In-home support
,,,leadership,Child neglect
,,,Child protection,out-of-home care
,,,Policy,child care
,,,Adoption,Assessment
,,,Child protection,child care
,,,Family practice,leadership
,,,In-home support,Policy
,,,Kinship care,In-home support
,,,Policy,In-home support
,,,child care,education
,,,education,child care
,,,In-home support,Child protection
,,,Kinship care,child care
,,,out-of-home care,child care
,,,parenting,education
,,,Compliance,Residential care
,,,In-home support,Child protection
,,,Policy,parenting
,,,aboriginal communities,education
,,,child care,education
,,,education,Kinship care
,,,leadership,child care
,,,measuring outcomes,Child practice
,,,out-of-home care,Abuse
,,,parenting,education
,,,Community care,Residential care
,,,Child neglect,aboriginal communities
,,,Child protection,education
,,,Compassion fatigue,Child protection
,,,Legal intervention,out-of-home care
,,,Residential care,child care
,,,aboriginal communities,education
,,,child care,Child protection
,,,education,leadership
,,,leadership,education
,,,Community care,measuring outcomes
,,,leadership,Child protection
,,,Child protection,parenting
,,,Community care,measuring outcomes
,,,Legal intervention,leadership
,,,education,Child protection
,,,leadership,parenting
,,,Child protection,education
,,,Compassion fatigue,measuring outcomes
,,,Legal intervention,Child protection
,,,education,parenting
,,,Child neglect,measuring outcomes
,,,Child protection,leadership
,,,In-home support,education
,,,child care,education
,,,education,Child practice
,,,aboriginal communities,education
,,,child care,aboriginal communities
,,,measuring outcomes,Legal intervention
,,,Foster care,Community care
,,,Compassion fatigue,leadership
,,,education,leadership
,,,leadership,education
,,,measuring outcomes,Child protection
,,,Child protection,Legal intervention
,,,Child practice,parenting
,,,child care,measuring outcomes
,,,education,leadership
,,,leadership,education
,,,measuring outcomes,education
,,,education,Child practice
,,,aboriginal communities,education
,,,child care,aboriginal communities
,,,Legal intervention,Child protection
,,,education,Community care
,,,out-of-home care,leadership
,,,parenting,child care
,,,aboriginal communities,education
,,,child care,Carer support
,,,In-home support,education
,,,aboriginal communities,measuring outcomes
,,,child care,aboriginal communities
,,,education,Residential care
,,,Child protection,Compliance
,,,Community care,education
,,,Child protection,leadership
,,,Foster care,Compassion fatigue
,,,aboriginal communities,education
,,,child care,In-home support
,,,education,measuring outcomes
,,,measuring outcomes,Residential care
,,,Compassion fatigue,Community care
,,,education,out-of-home care
,,,out-of-home care,Legal intervention
